id,qb_question,qb_answer,qb_choice1,qb_choice2,qb_choice3,qb_topic_id,topic,qa,qa_pos,qa_pos_bigram,qa_pos_trigram,qa_parse_tree,ss,ss_pos,ss_pos_bigram,ss_pos_trigram,ss_parse_tree,before,before_last,before_last_pos,before_pos,before_pos_bigram,before_pos_trigram,before_parse_tree,after,after_first,after_first_pos,after_pos,after_pos_bigram,after_pos_trigram,after_parse_tree,ans,ans_first,ans_last,ans_pos,ans_first_pos,ans_last_pos,ans_is_first,ans_is_last,ans_length
893,"* you decide on the plan, you should ask all of us for our opinions.",Before,Since,na,na,2,conjunctions,"Before you decide on the plan, you should ask all of us for our opinions.",IN PRP VBP IN DT NN PRP MD VB DT IN PRP IN PRP$ NN,IN_PRP PRP_VBP VBP_IN IN_DT DT_NN NN_PRP PRP_MD MD_VB VB_DT DT_IN IN_PRP PRP_IN IN_PRP$ PRP$_NN,IN_PRP_VBP PRP_VBP_IN VBP_IN_DT IN_DT_NN DT_NN_PRP NN_PRP_MD PRP_MD_VB MD_VB_DT VB_DT_IN DT_IN_PRP IN_PRP_IN PRP_IN_PRP$ IN_PRP$_NN,"S_SBAR_,_NP_VP_. SBAR_IN_S S_NP_VP NP_PRP VP_VBP_PP PP_IN_NP NP_DT_NN NP_PRP VP_MD_VP VP_VB_NP_PP NP_NP_PP NP_DT PP_IN_NP NP_PRP PP_IN_NP NP_PRP$_NNS",Before you decide on the,IN PRP VBP IN DT,IN_PRP PRP_VBP VBP_IN IN_DT,IN_PRP_VBP PRP_VBP_IN VBP_IN_DT,FRAG_SBAR SBAR_IN_S S_NP_VP NP_PRP VP_VBP_PP PP_IN_NP NP_DT,,,,,,,,you decide on the,you,PRP,PRP VBP IN DT,PRP_VBP VBP_IN IN_DT,PRP_VBP_IN VBP_IN_DT,S_NP_VP NP_PRP VP_VBP_PP PP_IN_NP NP_DT,Before,Before,Before,IN,IN,IN,b,y,1.0
894,I went back to work * meeting my mum for lunch.,after,before,na,na,2,conjunctions,I went back to work after meeting my mum for lunch.,PRP VBD RB TO VB IN VBG PRP$ NN IN NN,PRP_VBD VBD_RB RB_TO TO_VB VB_IN IN_VBG VBG_PRP$ PRP$_NN NN_IN IN_NN,PRP_VBD_RB VBD_RB_TO RB_TO_VB TO_VB_IN VB_IN_VBG IN_VBG_PRP$ VBG_PRP$_NN PRP$_NN_IN NN_IN_NN,S_NP_VP_. NP_PRP VP_VBD_PRT_S PRT_RP S_VP VP_TO_VP VP_VB_PP PP_IN_S S_VP VP_VBG_NP_PP NP_PRP$_NN PP_IN_NP NP_NN,went back to work after meeting my mum for,VBD RB TO VB IN VBG PRP$ NN IN,VBD_RB RB_TO TO_VB VB_IN IN_VBG VBG_PRP$ PRP$_NN NN_IN,VBD_RB_TO RB_TO_VB TO_VB_IN VB_IN_VBG IN_VBG_PRP$ VBG_PRP$_NN PRP$_NN_IN,S_VP VP_VBD_PRT_S PRT_RP S_VP VP_TO_VP VP_VB_PP PP_IN_S S_VP VP_VBG_NP_PP NP_PRP$_NN PP_IN,went back to work,work,NN,VBD RB TO VB,VBD_RB RB_TO TO_VB,VBD_RB_TO RB_TO_VB,S_VP VP_VBD_PRT_S PRT_RP S_VP VP_TO_VP VP_VB,meeting my mum for,meeting,NN,VBG PRP$ NN IN,VBG_PRP$ PRP$_NN NN_IN,VBG_PRP$_NN PRP$_NN_IN,S_VP VP_VBG_NP_PP NP_PRP$_NN PP_IN,after,after,after,IN,IN,IN,y,y,1.0
895,She has been wanting to go to Paris * she saw that movie.,since,when,na,na,2,conjunctions,She has been wanting to go to Paris since she saw that movie.,PRP VBZ VBN VBG TO VB TO NNP IN PRP VBD IN NN,PRP_VBZ VBZ_VBN VBN_VBG VBG_TO TO_VB VB_TO TO_NNP NNP_IN IN_PRP PRP_VBD VBD_IN IN_NN,PRP_VBZ_VBN VBZ_VBN_VBG VBN_VBG_TO VBG_TO_VB TO_VB_TO VB_TO_NNP TO_NNP_IN NNP_IN_PRP IN_PRP_VBD PRP_VBD_IN VBD_IN_NN,S_NP_VP_. NP_PRP VP_VBZ_VP VP_VBN_VP VP_VBG_S S_VP VP_TO_VP VP_VB_PP_SBAR PP_IN_NP NP_NNP SBAR_IN_S S_NP_VP NP_PRP VP_VBD_NP NP_DT_NN,to go to Paris since she saw that movie,TO VB TO NNP IN PRP VBD IN NN,TO_VB VB_TO TO_NNP NNP_IN IN_PRP PRP_VBD VBD_IN IN_NN,TO_VB_TO VB_TO_NNP TO_NNP_IN NNP_IN_PRP IN_PRP_VBD PRP_VBD_IN VBD_IN_NN,S_VP VP_TO_VP VP_VB_PP_SBAR PP_IN_NP NP_NNP SBAR_IN_S S_NP_VP NP_PRP VP_VBD_NP NP_DT_NN,to go to Paris,Paris,NNP,TO VB TO NNP,TO_VB VB_TO TO_NNP,TO_VB_TO VB_TO_NNP,S_VP VP_TO_VP VP_VB_PP PP_IN_NP NP_NNP,she saw that movie,she,PRP,PRP VBD IN NN,PRP_VBD VBD_IN IN_NN,PRP_VBD_IN VBD_IN_NN,S_NP_VP NP_PRP VP_VBD_NP NP_DT_NN,since,since,since,IN,IN,IN,y,y,1.0
896,I asked her * she was keen to play the game.,whether,when,na,na,2,conjunctions,I asked her whether she was keen to play the game.,PRP VBD PRP IN PRP VBD JJ TO VB DT NN,PRP_VBD VBD_PRP PRP_IN IN_PRP PRP_VBD VBD_JJ JJ_TO TO_VB VB_DT DT_NN,PRP_VBD_PRP VBD_PRP_IN PRP_IN_PRP IN_PRP_VBD PRP_VBD_JJ VBD_JJ_TO JJ_TO_VB TO_VB_DT VB_DT_NN,S_NP_VP_. NP_PRP VP_VBD_NP_SBAR NP_PRP SBAR_IN_S S_NP_VP NP_PRP VP_VBD_ADJP ADJP_JJ_S S_VP VP_TO_VP VP_VB_NP NP_DT_NN,I asked her whether she was keen to,PRP VBD PRP IN PRP VBD JJ TO,PRP_VBD VBD_PRP PRP_IN IN_PRP PRP_VBD VBD_JJ JJ_TO,PRP_VBD_PRP VBD_PRP_IN PRP_IN_PRP IN_PRP_VBD PRP_VBD_JJ VBD_JJ_TO,S_NP_VP NP_PRP VP_VBD_NP_SBAR NP_PRP SBAR_IN_S S_NP_VP NP_PRP VP_VBD_ADJP ADJP_JJ_S S_VP VP_TO,I asked her,her,PRP$,PRP VBD PRP,PRP_VBD VBD_PRP,PRP_VBD_PRP,S_NP_VP NP_PRP VP_VBD_NP NP_PRP,she was keen to,she,PRP,PRP VBD JJ TO,PRP_VBD VBD_JJ JJ_TO,PRP_VBD_JJ VBD_JJ_TO,S_NP_VP NP_PRP VP_VBD_ADJP ADJP_JJ_S S_VP VP_TO,whether,whether,whether,IN,IN,IN,y,y,1.0
897,The game will be cancelled * the rain stops.,unless,if,na,na,2,conjunctions,The game will be cancelled unless the rain stops.,DT NN MD VB VBN IN DT NN NN,DT_NN NN_MD MD_VB VB_VBN VBN_IN IN_DT DT_NN NN_NN,DT_NN_MD NN_MD_VB MD_VB_VBN VB_VBN_IN VBN_IN_DT IN_DT_NN DT_NN_NN,S_NP_VP_. NP_DT_NN VP_MD_VP VP_VB_VP VP_VBN_SBAR SBAR_IN_S S_NP_VP NP_DT_NN VP_VBZ,game will be cancelled unless the rain stops,NN MD VB VBN IN DT NN NNS,NN_MD MD_VB VB_VBN VBN_IN IN_DT DT_NN NN_NNS,NN_MD_VB MD_VB_VBN VB_VBN_IN VBN_IN_DT IN_DT_NN DT_NN_NNS,S_NP_VP NP_NN VP_MD_VP VP_VB_VP VP_VBN_SBAR SBAR_IN_S S_NP_VP NP_DT_NN VP_VBZ,game will be cancelled,cancelled,VBN,NN MD VB VBN,NN_MD MD_VB VB_VBN,NN_MD_VB MD_VB_VBN,S_NP_VP NP_NN VP_MD_VP VP_VB_VP VP_VBN,the rain stops,the,DT,DT NN NNS,DT_NN NN_NNS,DT_NN_NNS,S_NP_VP NP_DT_NN VP_VBZ,unless,unless,unless,IN,IN,IN,y,y,1.0
898,We will never find out the truth * we analyse the evidence.,until,if,na,na,2,conjunctions,We will never find out the truth until we analyse the evidence.,PRP MD RB VB RP DT NN IN PRP VBP DT NN,PRP_MD MD_RB RB_VB VB_RP RP_DT DT_NN NN_IN IN_PRP PRP_VBP VBP_DT DT_NN,PRP_MD_RB MD_RB_VB RB_VB_RP VB_RP_DT RP_DT_NN DT_NN_IN NN_IN_PRP IN_PRP_VBP PRP_VBP_DT VBP_DT_NN,S_NP_VP_. NP_PRP VP_MD_ADVP_VP ADVP_RB VP_VB_PRT_NP_SBAR PRT_RP NP_DT_NN SBAR_IN_S S_NP_VP NP_PRP VP_VBP_NP NP_DT_NN,find out the truth until we analyse the evidence,VB RP DT NN IN PRP VBP DT NN,VB_RP RP_DT DT_NN NN_IN IN_PRP PRP_VBP VBP_DT DT_NN,VB_RP_DT RP_DT_NN DT_NN_IN NN_IN_PRP IN_PRP_VBP PRP_VBP_DT VBP_DT_NN,S_VP VP_VB_PRT_NP_SBAR PRT_RP NP_DT_NN SBAR_IN_S S_NP_VP NP_PRP VP_VBP_NP NP_DT_NN,find out the truth,truth,NN,VB RP DT NN,VB_RP RP_DT DT_NN,VB_RP_DT RP_DT_NN,S_VP VP_VB_PRT_NP PRT_RP NP_DT_NN,we analyse the evidence,we,PRP,PRP VBP DT NN,PRP_VBP VBP_DT DT_NN,PRP_VBP_DT VBP_DT_NN,S_NP_VP NP_PRP VP_VBP_NP NP_DT_NN,until,until,until,IN,IN,IN,y,y,1.0
899,"* I have recovered from my illness, I will continue with the project.",Once,Whenever,na,na,2,conjunctions,"Once I have recovered from my illness, I will continue with the project.",RB PRP VBP VBN IN PRP$ NN PRP MD VB IN DT NN,RB_PRP PRP_VBP VBP_VBN VBN_IN IN_PRP$ PRP$_NN NN_PRP PRP_MD MD_VB VB_IN IN_DT DT_NN,RB_PRP_VBP PRP_VBP_VBN VBP_VBN_IN VBN_IN_PRP$ IN_PRP$_NN PRP$_NN_PRP NN_PRP_MD PRP_MD_VB MD_VB_IN VB_IN_DT IN_DT_NN,"S_SBAR_,_NP_VP_. SBAR_IN_S S_NP_VP NP_PRP VP_VBP_VP VP_VBN_PP PP_IN_NP NP_PRP$_NN NP_PRP VP_MD_VP VP_VB_PP PP_IN_NP NP_DT_NN",Once I have recovered from,RB PRP VBP VBN IN,RB_PRP PRP_VBP VBP_VBN VBN_IN,RB_PRP_VBP PRP_VBP_VBN VBP_VBN_IN,S_ADVP_NP_VP ADVP_RB NP_PRP VP_VBP_VP VP_VBN_PP PP_IN,,,,,,,,I have recovered from,I,PRP,PRP VBP VBN IN,PRP_VBP VBP_VBN VBN_IN,PRP_VBP_VBN VBP_VBN_IN,S_NP_VP NP_PRP VP_VBP_VP VP_VBN_PP PP_IN,Once,Once,Once,RB,RB,RB,b,y,1.0
900,She listened to the song * she was having dinner.,while,since,na,na,2,conjunctions,She listened to the song while she was having dinner.,PRP VBD TO DT NN IN PRP VBD VBG NN,PRP_VBD VBD_TO TO_DT DT_NN NN_IN IN_PRP PRP_VBD VBD_VBG VBG_NN,PRP_VBD_TO VBD_TO_DT TO_DT_NN DT_NN_IN NN_IN_PRP IN_PRP_VBD PRP_VBD_VBG VBD_VBG_NN,S_NP_VP_. NP_PRP VP_VBD_PP_SBAR PP_IN_NP NP_DT_NN SBAR_IN_S S_NP_VP NP_PRP VP_VBD_VP VP_VBG_NP NP_NN,listened to the song while she was having dinner,VBN TO DT NN IN PRP VBD VBG NN,VBN_TO TO_DT DT_NN NN_IN IN_PRP PRP_VBD VBD_VBG VBG_NN,VBN_TO_DT TO_DT_NN DT_NN_IN NN_IN_PRP IN_PRP_VBD PRP_VBD_VBG VBD_VBG_NN,S_VP VP_VBD_PP_SBAR PP_IN_NP NP_DT_NN SBAR_IN_S S_NP_VP NP_PRP VP_VBD_VP VP_VBG_NP NP_NN,listened to the song,song,NN,VBN TO DT NN,VBN_TO TO_DT DT_NN,VBN_TO_DT TO_DT_NN,FRAG_VP VP_VBN_PP PP_IN_NP NP_DT_NN,she was having dinner,she,PRP,PRP VBD VBG NN,PRP_VBD VBD_VBG VBG_NN,PRP_VBD_VBG VBD_VBG_NN,S_NP_VP NP_PRP VP_VBD_VP VP_VBG_NP NP_NN,while,while,while,IN,IN,IN,y,y,1.0
901,"He could hardly save any money, * he spends without thinking.",yet,so,na,na,2,conjunctions,"He could hardly save any money, yet he spends without thinking.",PRP MD RB VB DT NN RB PRP VBZ IN NN,PRP_MD MD_RB RB_VB VB_DT DT_NN NN_RB RB_PRP PRP_VBZ VBZ_IN IN_NN,PRP_MD_RB MD_RB_VB RB_VB_DT VB_DT_NN DT_NN_RB NN_RB_PRP RB_PRP_VBZ PRP_VBZ_IN VBZ_IN_NN,"S_S_,_CC_S_. S_NP_VP NP_PRP VP_MD_ADVP_VP ADVP_RB VP_VB_NP NP_DT_NN S_NP_VP NP_PRP VP_VBZ_PP PP_IN_NP NP_NN","hardly save any money, yet he spends without thinking",RB VB DT NN RB PRP VBZ IN VBG,RB_VB VB_DT DT_NN NN_RB RB_PRP PRP_VBZ VBZ_IN IN_VBG,RB_VB_DT VB_DT_NN DT_NN_RB NN_RB_PRP RB_PRP_VBZ PRP_VBZ_IN VBZ_IN_VBG,"S_S_,_S S_ADVP_VP ADVP_RB VP_VB_NP NP_DT_NN S_ADVP_NP_VP ADVP_RB NP_PRP VP_VBZ_PP PP_IN_NP NP_NN","hardly save any money,","money,",NN,RB VB DT NN,RB_VB VB_DT DT_NN,RB_VB_DT VB_DT_NN,S_ADVP_VP_. ADVP_RB VP_VB_NP NP_DT_NN,he spends without thinking,he,PRP,PRP VBZ IN VBG,PRP_VBZ VBZ_IN IN_VBG,PRP_VBZ_IN VBZ_IN_VBG,S_NP_VP NP_PRP VP_VBZ_PP PP_IN_NP NP_NN,yet,yet,yet,RB,RB,RB,y,y,1.0
902,She was thirsty * she bought a drink.,so,when,na,na,2,conjunctions,She was thirsty so she bought a drink.,PRP VBD RB RB PRP VBD DT NN,PRP_VBD VBD_RB RB_RB RB_PRP PRP_VBD VBD_DT DT_NN,PRP_VBD_RB VBD_RB_RB RB_RB_PRP RB_PRP_VBD PRP_VBD_DT VBD_DT_NN,S_NP_VP_. NP_PRP VP_VBD_ADJP_SBAR ADJP_JJ SBAR_IN_S S_NP_VP NP_PRP VP_VBD_NP NP_DT_NN,She was thirsty so she bought a drink,PRP VBD RB RB PRP VBD DT NN,PRP_VBD VBD_RB RB_RB RB_PRP PRP_VBD VBD_DT DT_NN,PRP_VBD_RB VBD_RB_RB RB_RB_PRP RB_PRP_VBD PRP_VBD_DT VBD_DT_NN,S_NP_VP NP_PRP VP_VBD_ADJP_SBAR ADJP_JJ SBAR_IN_S S_NP_VP NP_PRP VP_VBD_NP NP_DT_NN,She was thirsty,thirsty,NN,PRP VBD JJ,PRP_VBD VBD_JJ,PRP_VBD_JJ,S_NP_VP NP_PRP VP_VBD_ADJP ADJP_JJ,she bought a drink,she,PRP,PRP VBD DT NN,PRP_VBD VBD_DT DT_NN,PRP_VBD_DT VBD_DT_NN,S_NP_VP NP_PRP VP_VBD_NP NP_DT_NN,so,so,so,RB,RB,RB,y,y,1.0
903,I was just fifteen * I started supporting my family.,when,since,na,na,2,conjunctions,I was just fifteen when I started supporting my family.,PRP VBD RB JJ WRB PRP VBD VBG PRP$ NN,PRP_VBD VBD_RB RB_JJ JJ_WRB WRB_PRP PRP_VBD VBD_VBG VBG_PRP$ PRP$_NN,PRP_VBD_RB VBD_RB_JJ RB_JJ_WRB JJ_WRB_PRP WRB_PRP_VBD PRP_VBD_VBG VBD_VBG_PRP$ VBG_PRP$_NN,S_NP_VP_. NP_PRP VP_VBD_ADVP_ADJP_SBAR ADVP_RB ADJP_CD SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_PRP VP_VBD_S S_VP VP_VBG_NP NP_PRP$_NN,I was just fifteen when I started supporting my,PRP VBD RB JJ WRB PRP VBD VBG PRP$,PRP_VBD VBD_RB RB_JJ JJ_WRB WRB_PRP PRP_VBD VBD_VBG VBG_PRP$,PRP_VBD_RB VBD_RB_JJ RB_JJ_WRB JJ_WRB_PRP WRB_PRP_VBD PRP_VBD_VBG VBD_VBG_PRP$,S_NP_VP NP_PRP VP_VBD_ADVP_ADJP_SBAR ADVP_RB ADJP_CD SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_PRP VP_VBD_S S_VP VP_VBG_NP NP_PRP$,I was just fifteen,fifteen,NN,PRP VBD RB JJ,PRP_VBD VBD_RB RB_JJ,PRP_VBD_RB VBD_RB_JJ,S_NP_VP NP_PRP VP_VBD_NP NP_QP QP_RB_CD,I started supporting my,I,PRP,PRP VBD VBG PRP$,PRP_VBD VBD_VBG VBG_PRP$,PRP_VBD_VBG VBD_VBG_PRP$,S_NP_VP NP_PRP VP_VBD_S S_VP VP_VBG_NP NP_PRP$,when,when,when,WRB,WRB,WRB,y,y,1.0
904,She feels sad * she thinks of the past.,whenever,since,na,na,2,conjunctions,She feels sad whenever she thinks of the past.,PRP VBZ JJ WRB PRP VBZ IN DT NN,PRP_VBZ VBZ_JJ JJ_WRB WRB_PRP PRP_VBZ VBZ_IN IN_DT DT_NN,PRP_VBZ_JJ VBZ_JJ_WRB JJ_WRB_PRP WRB_PRP_VBZ PRP_VBZ_IN VBZ_IN_DT IN_DT_NN,S_NP_VP_. NP_PRP VP_VBZ_ADJP_SBAR ADJP_JJ SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_PRP VP_VBZ_PP PP_IN_NP NP_DT_NN,She feels sad whenever she thinks of the,PRP VBZ JJ WRB PRP VBZ IN DT,PRP_VBZ VBZ_JJ JJ_WRB WRB_PRP PRP_VBZ VBZ_IN IN_DT,PRP_VBZ_JJ VBZ_JJ_WRB JJ_WRB_PRP WRB_PRP_VBZ PRP_VBZ_IN VBZ_IN_DT,S_NP_VP NP_PRP VP_VBZ_ADJP_SBAR ADJP_JJ SBAR_WHADVP_S WHADVP_WRB S_NP_VP NP_PRP VP_VBZ_PP PP_IN_NP NP_DT,She feels sad,sad,NN,PRP VBZ JJ,PRP_VBZ VBZ_JJ,PRP_VBZ_JJ,S_NP_VP NP_PRP VP_VBZ_ADJP ADJP_JJ,she thinks of the,she,PRP,PRP VBZ IN DT,PRP_VBZ VBZ_IN IN_DT,PRP_VBZ_IN VBZ_IN_DT,S_NP_VP NP_PRP VP_VBZ_PP PP_IN_NP NP_DT,whenever,whenever,whenever,NN,NN,NN,y,y,1.0
905,"Are you able to manage, * do you want me to assist you?",or,so,na,na,2,conjunctions,"Are you able to manage, or do you want me to assist you?",NNP PRP JJ TO VB CC VB PRP VB PRP TO VB NN,NNP_PRP PRP_JJ JJ_TO TO_VB VB_CC CC_VB VB_PRP PRP_VB VB_PRP PRP_TO TO_VB VB_NN,NNP_PRP_JJ PRP_JJ_TO JJ_TO_VB TO_VB_CC VB_CC_VB CC_VB_PRP VB_PRP_VB PRP_VB_PRP VB_PRP_TO PRP_TO_VB TO_VB_NN,"SQ_SQ_,_CC_SQ_. SQ_VBP_NP_ADJP NP_PRP ADJP_JJ_S S_VP VP_TO_VP VP_VB SQ_VBP_NP_VP NP_PRP VP_VB_S S_NP_VP NP_PRP VP_TO_VP VP_VB_NP NP_PRP","you able to manage, or do you want me",PRP JJ TO VB CC VB PRP VB PRP,PRP_JJ JJ_TO TO_VB VB_CC CC_VB VB_PRP PRP_VB VB_PRP,PRP_JJ_TO JJ_TO_VB TO_VB_CC VB_CC_VB CC_VB_PRP VB_PRP_VB PRP_VB_PRP,"S_S_,_CC_SINV S_NP_ADJP NP_PRP ADJP_JJ_S S_VP VP_TO_VP VP_VB SINV_VBP_NP_VP NP_PRP VP_VB_NP NP_PRP","you able to manage,","manage,",NN,PRP JJ TO VB,PRP_JJ JJ_TO TO_VB,PRP_JJ_TO JJ_TO_VB,S_NP_VP_. NP_PRP VP_S S_ADJP ADJP_JJ_S S_VP VP_TO_VP VP_VB,do you want me,do,VB,VBP PRP VB PRP,VBP_PRP PRP_VB VB_PRP,VBP_PRP_VB PRP_VB_PRP,SQ_VBP_NP_VP NP_PRP VP_VB_NP NP_PRP,or,or,or,CC,CC,CC,y,y,1.0
906,I should be more disciplined * I will fail again.,or,if,na,na,2,conjunctions,I should be more disciplined or I will fail again.,PRP MD VB RBR JJ CC PRP MD VB NN,PRP_MD MD_VB VB_RBR RBR_JJ JJ_CC CC_PRP PRP_MD MD_VB VB_NN,PRP_MD_VB MD_VB_RBR VB_RBR_JJ RBR_JJ_CC JJ_CC_PRP CC_PRP_MD PRP_MD_VB MD_VB_NN,S_S_CC_S_. S_NP_VP NP_PRP VP_MD_VP VP_VB_ADJP ADJP_RBR_JJ S_NP_VP NP_PRP VP_MD_VP VP_VB_ADVP ADVP_RB,should be more disciplined or I will fail again,MD VB RBR JJ CC PRP MD VB RB,MD_VB VB_RBR RBR_JJ JJ_CC CC_PRP PRP_MD MD_VB VB_RB,MD_VB_RBR VB_RBR_JJ RBR_JJ_CC JJ_CC_PRP CC_PRP_MD PRP_MD_VB MD_VB_RB,S_S_CC_S S_VP VP_MD_VP VP_VB_ADJP ADJP_RBR_JJ S_NP_VP NP_PRP VP_MD_VP VP_VB_ADVP ADVP_RB,should be more disciplined,disciplined,VBN,MD VB RBR JJ,MD_VB VB_RBR RBR_JJ,MD_VB_RBR VB_RBR_JJ,S_VP VP_MD_VP VP_VB_ADJP ADJP_RBR_JJ,I will fail again,I,PRP,PRP MD VB RB,PRP_MD MD_VB VB_RB,PRP_MD_VB MD_VB_RB,S_NP_VP NP_PRP VP_MD_VP VP_VB_ADVP ADVP_RB,or,or,or,CC,CC,CC,y,y,1.0
907,John is poor in his studies * he is very good at sports.,but,because,na,na,2,conjunctions,John is poor in his studies but he is very good at sports.,NNP VBZ JJ IN PRP$ NNS CC PRP VBZ RB JJ IN NN,NNP_VBZ VBZ_JJ JJ_IN IN_PRP$ PRP$_NNS NNS_CC CC_PRP PRP_VBZ VBZ_RB RB_JJ JJ_IN IN_NN,NNP_VBZ_JJ VBZ_JJ_IN JJ_IN_PRP$ IN_PRP$_NNS PRP$_NNS_CC NNS_CC_PRP CC_PRP_VBZ PRP_VBZ_RB VBZ_RB_JJ RB_JJ_IN JJ_IN_NN,S_S_CC_S_. S_NP_VP NP_NNP VP_VBZ_ADJP ADJP_JJ_PP PP_IN_NP NP_PRP$_NNS S_NP_VP NP_PRP VP_VBZ_ADJP ADJP_RB_JJ_PP PP_IN_NP NP_NNS,poor in his studies but he is very good,JJ IN PRP$ NNS CC PRP VBZ RB JJ,JJ_IN IN_PRP$ PRP$_NNS NNS_CC CC_PRP PRP_VBZ VBZ_RB RB_JJ,JJ_IN_PRP$ IN_PRP$_NNS PRP$_NNS_CC NNS_CC_PRP CC_PRP_VBZ PRP_VBZ_RB VBZ_RB_JJ,FRAG_ADJP ADJP_ADJP_SBAR ADJP_JJ_PP PP_IN_NP NP_PRP$_NNS SBAR_IN_S S_NP_VP NP_PRP VP_VBZ_ADJP ADJP_RB_JJ,poor in his studies,studies,NNS,JJ IN PRP$ NNS,JJ_IN IN_PRP$ PRP$_NNS,JJ_IN_PRP$ IN_PRP$_NNS,FRAG_ADJP ADJP_JJ_PP PP_IN_NP NP_PRP$_NNS,he is very good,he,PRP,PRP VBZ RB JJ,PRP_VBZ VBZ_RB RB_JJ,PRP_VBZ_RB VBZ_RB_JJ,S_NP_VP NP_PRP VP_VBZ_ADJP ADJP_RB_JJ,but,but,but,CC,CC,CC,y,y,1.0
908,I looked all over the house * I could not find my wallet.,but,because,na,na,2,conjunctions,I looked all over the house but I could not find my wallet.,PRP VBD DT IN DT NN CC PRP MD RB VB PRP$ NN,PRP_VBD VBD_DT DT_IN IN_DT DT_NN NN_CC CC_PRP PRP_MD MD_RB RB_VB VB_PRP$ PRP$_NN,PRP_VBD_DT VBD_DT_IN DT_IN_DT IN_DT_NN DT_NN_CC NN_CC_PRP CC_PRP_MD PRP_MD_RB MD_RB_VB RB_VB_PRP$ VB_PRP$_NN,S_S_CC_S_. S_NP_VP NP_PRP VP_VBD_NP_PP NP_DT PP_IN_NP NP_DT_NN S_NP_VP NP_PRP VP_MD_RB_VP VP_VB_NP NP_PRP$_NN,all over the house but I could not find,DT IN DT NN CC PRP MD RB VB,DT_IN IN_DT DT_NN NN_CC CC_PRP PRP_MD MD_RB RB_VB,DT_IN_DT IN_DT_NN DT_NN_CC NN_CC_PRP CC_PRP_MD PRP_MD_RB MD_RB_VB,S_NP_VP NP_NP_PP NP_DT PP_IN_NP NP_NP_PP NP_DT_NN PP_IN_NP NP_PRP VP_MD_RB_VP VP_VB,all over the house,house,NN,DT IN DT NN,DT_IN IN_DT DT_NN,DT_IN_DT IN_DT_NN,NP_NP_PP NP_DT PP_IN_NP NP_DT_NN,I could not find,I,PRP,PRP MD RB VB,PRP_MD MD_RB RB_VB,PRP_MD_RB MD_RB_VB,S_NP_VP NP_PRP VP_MD_RB_VP VP_VB,but,but,but,CC,CC,CC,y,y,1.0
909,She was mad at me * I did not keep my promise.,because,if,na,na,2,conjunctions,She was mad at me because I did not keep my promise.,PRP VBD NN IN PRP IN PRP VBD RB VB PRP$ NN,PRP_VBD VBD_NN NN_IN IN_PRP PRP_IN IN_PRP PRP_VBD VBD_RB RB_VB VB_PRP$ PRP$_NN,PRP_VBD_NN VBD_NN_IN NN_IN_PRP IN_PRP_IN PRP_IN_PRP IN_PRP_VBD PRP_VBD_RB VBD_RB_VB RB_VB_PRP$ VB_PRP$_NN,S_NP_VP_. NP_PRP VP_VBD_ADJP_SBAR ADJP_JJ_PP PP_IN_NP NP_PRP SBAR_IN_S S_NP_VP NP_PRP VP_VBD_RB_VP VP_VB_NP NP_PRP$_NN,was mad at me because I did not keep,VBD NN IN PRP IN PRP VBD RB VB,VBD_NN NN_IN IN_PRP PRP_IN IN_PRP PRP_VBD VBD_RB RB_VB,VBD_NN_IN NN_IN_PRP IN_PRP_IN PRP_IN_PRP IN_PRP_VBD PRP_VBD_RB VBD_RB_VB,S_VP VP_VBD_ADJP_SBAR ADJP_JJ_PP PP_IN_NP NP_PRP SBAR_IN_S S_NP_VP NP_PRP VP_VBD_RB_VP VP_VB,was mad at me,me,PRP,VBD NN IN PRP,VBD_NN NN_IN IN_PRP,VBD_NN_IN NN_IN_PRP,S_VP VP_VBD_ADJP ADJP_JJ_PP PP_IN_NP NP_PRP,I did not keep,I,PRP,PRP VBD RB VB,PRP_VBD VBD_RB RB_VB,PRP_VBD_RB VBD_RB_VB,S_NP_VP NP_PRP VP_VBD_RB_VP VP_VB,because,because,because,IN,IN,IN,y,y,1.0
